,County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
1402,"Alcorn, Mississippi",15.8,39.7,1.9,17.1
1403,"Amite, Mississippi",29.5,47.1,1.7,12.6
1404,"Attala, Mississippi",24.5,39.8,2.6,13.9
1405,"Benton, Mississippi",20.2,41.5,2.3,11.5
1406,"Bolivar, Mississippi",32.7,35.6,1.3,23.6
1407,"Calhoun, Mississippi",20.8,41.4,0.7,11.8
1408,"Carroll, Mississippi",19.4,47.6,0.2,12.2
1409,"Chickasaw, Mississippi",22.7,37.8,0.7,12.4
1410,"Choctaw, Mississippi",19.3,44.0,2.9,19.1
1411,"Claiborne, Mississippi",30.4,33.9,0.0,24.0
1412,"Clarke, Mississippi",21.4,42.2,1.2,12.5
1413,"Clay, Mississippi",25.1,39.5,0.4,20.4
1414,"Coahoma, Mississippi",32.5,34.8,1.9,16.5
1415,"Copiah, Mississippi",22.0,38.5,1.7,14.5
1416,"Covington, Mississippi",24.3,37.3,0.3,14.7
1417,"DeSoto, Mississippi",8.4,36.8,1.7,25.0
1418,"Forrest, Mississippi",25.9,32.5,1.9,27.8
1419,"Franklin, Mississippi",20.0,42.5,0.1,12.0
1420,"George, Mississippi",15.8,36.4,2.4,13.8
1421,"Greene, Mississippi",21.6,40.4,2.6,9.7
1422,"Grenada, Mississippi",21.0,39.2,0.2,21.3
1423,"Hancock, Mississippi",16.3,44.4,4.2,22.0
1424,"Harrison, Mississippi",18.5,36.2,3.2,23.1
1425,"Hinds, Mississippi",19.0,34.8,2.4,29.0
1426,"Holmes, Mississippi",43.5,34.7,3.6,10.2
1427,"Humphreys, Mississippi",31.6,38.3,0.0,12.8
1428,"Issaquena, Mississippi",33.5,42.2,0.0,3.2
1429,"Itawamba, Mississippi",15.2,39.9,1.3,13.2
1430,"Jackson, Mississippi",15.6,38.8,2.4,21.1
1431,"Jasper, Mississippi",24.2,41.0,1.2,15.1
1432,"Jefferson, Mississippi",33.0,40.5,1.1,15.9
1433,"Jefferson Davis, Mississippi",29.3,44.0,2.1,14.1
1434,"Jones, Mississippi",19.8,37.5,1.5,20.8
1435,"Kemper, Mississippi",26.7,41.4,0.8,14.7
1436,"Lafayette, Mississippi",19.8,30.5,0.3,45.6
1437,"Lamar, Mississippi",16.4,35.9,0.8,34.1
1438,"Lauderdale, Mississippi",21.5,37.8,1.8,19.7
1439,"Lawrence, Mississippi",19.6,39.9,1.0,17.6
1440,"Leake, Mississippi",24.3,36.9,0.9,14.3
1441,"Lee, Mississippi",15.8,37.5,1.5,24.4
1442,"Leflore, Mississippi",35.6,34.0,3.1,18.5
1443,"Lincoln, Mississippi",22.0,38.9,0.5,16.2
1444,"Lowndes, Mississippi",19.7,37.1,5.6,23.4
1445,"Madison, Mississippi",9.7,37.2,1.9,48.4
1446,"Marion, Mississippi",26.1,40.8,2.2,12.3
1447,"Marshall, Mississippi",16.5,40.4,4.2,13.8
1448,"Monroe, Mississippi",19.8,41.1,2.8,16.7
1449,"Montgomery, Mississippi",24.5,41.6,0.3,19.3
1450,"Neshoba, Mississippi",24.0,37.3,1.1,11.6
1451,"Newton, Mississippi",21.8,37.0,1.9,16.4
1452,"Noxubee, Mississippi",31.3,37.0,2.5,15.6
1453,"Oktibbeha, Mississippi",29.7,26.1,3.3,42.6
1454,"Panola, Mississippi",21.0,38.3,2.2,14.9
1455,"Pearl River, Mississippi",18.1,40.9,3.4,16.7
1456,"Perry, Mississippi",19.9,41.9,0.4,10.7
1457,"Pike, Mississippi",32.1,37.2,3.1,16.6
1458,"Pontotoc, Mississippi",15.1,36.6,1.4,18.1
1459,"Prentiss, Mississippi",24.4,39.2,2.1,12.4
1460,"Quitman, Mississippi",36.4,38.7,3.8,10.3
1461,"Rankin, Mississippi",8.4,37.8,1.7,29.0
1462,"Scott, Mississippi",23.6,36.4,1.0,11.4
1463,"Sharkey, Mississippi",27.1,41.2,1.9,19.5
1464,"Simpson, Mississippi",17.8,39.5,2.9,16.2
1465,"Smith, Mississippi",18.1,41.5,0.7,12.2
1466,"Stone, Mississippi",17.8,38.7,1.4,15.8
1467,"Sunflower, Mississippi",29.6,35.6,2.7,15.4
1468,"Tallahatchie, Mississippi",33.5,36.8,1.4,10.3
1469,"Tate, Mississippi",16.4,38.2,2.2,15.8
1470,"Tippah, Mississippi",21.2,38.8,5.1,15.2
1471,"Tishomingo, Mississippi",22.0,42.5,2.6,11.4
1472,"Tunica, Mississippi",25.6,33.6,3.4,16.9
1473,"Union, Mississippi",14.5,37.9,0.5,13.4
1474,"Walthall, Mississippi",29.0,39.8,2.1,14.4
1475,"Warren, Mississippi",20.7,39.1,3.1,22.4
1476,"Washington, Mississippi",30.8,37.2,2.3,17.9
1477,"Wayne, Mississippi",21.9,40.2,0.7,15.3
1478,"Webster, Mississippi",19.5,40.5,2.1,18.5
1479,"Wilkinson, Mississippi",29.1,37.8,0.0,13.7
1480,"Winston, Mississippi",20.4,42.3,1.4,14.7
1481,"Yalobusha, Mississippi",18.2,42.5,1.5,13.8
1482,"Yazoo, Mississippi",28.1,36.1,1.2,13.4
1483,"Adair, Missouri",24.4,27.6,1.2,31.0
1484,"Andrew, Missouri",10.6,42.4,0.8,24.9
1485,"Atchison, Missouri",12.3,48.5,2.3,23.1
1486,"Audrain, Missouri",13.8,39.7,2.5,14.7
1487,"Barry, Missouri",17.9,43.7,1.8,14.6
1488,"Barton, Missouri",17.5,41.3,0.6,19.9
1489,"Bates, Missouri",12.3,41.6,1.4,16.1
1490,"Benton, Missouri",15.9,53.6,2.7,13.0
1491,"Bollinger, Missouri",15.1,44.0,1.0,8.9
1492,"Boone, Missouri",16.9,31.2,1.4,46.1
1493,"Buchanan, Missouri",15.8,37.8,2.1,21.1
1494,"Butler, Missouri",23.2,41.3,1.3,13.3
1495,"Caldwell, Missouri",12.5,42.3,1.6,18.1
1496,"Callaway, Missouri",11.4,38.6,0.5,23.1
1497,"Camden, Missouri",14.1,51.5,4.9,21.1
1498,"Cape Girardeau, Missouri",15.4,36.5,2.8,31.5
1499,"Carroll, Missouri",13.1,43.4,0.5,16.7
1500,"Carter, Missouri",13.2,41.7,2.4,15.5
1501,"Cass, Missouri",8.0,39.8,1.0,26.3
1502,"Cedar, Missouri",16.0,44.7,1.4,13.6
1503,"Chariton, Missouri",14.7,45.7,1.0,17.2
1504,"Christian, Missouri",9.4,37.9,1.7,28.6
1505,"Clark, Missouri",12.1,44.0,1.5,12.8
1506,"Clay, Missouri",7.4,37.1,1.5,33.2
1507,"Clinton, Missouri",8.8,41.0,1.6,21.6
1508,"Cole, Missouri",10.2,38.6,3.3,33.3
1509,"Cooper, Missouri",11.6,38.7,2.2,22.1
1510,"Crawford, Missouri",18.4,41.9,1.0,11.5
1511,"Dade, Missouri",18.0,46.2,1.1,12.7
1512,"Dallas, Missouri",12.7,44.0,1.1,12.9
1513,"Daviess, Missouri",14.6,41.1,2.4,18.5
1514,"DeKalb, Missouri",12.8,40.4,2.4,13.8
1515,"Dent, Missouri",21.9,44.7,0.6,15.3
1516,"Douglas, Missouri",19.8,47.3,1.0,10.8
1517,"Dunklin, Missouri",24.6,40.0,1.1,13.8
1518,"Franklin, Missouri",10.2,40.7,1.4,20.9
1519,"Gasconade, Missouri",9.9,46.2,2.0,19.2
1520,"Gentry, Missouri",15.7,40.4,0.0,19.1
1521,"Greene, Missouri",16.9,36.0,1.3,30.5
1522,"Grundy, Missouri",16.6,40.8,1.1,17.1
1523,"Harrison, Missouri",15.0,43.3,0.6,16.5
1524,"Henry, Missouri",18.0,44.1,2.6,15.9
1525,"Hickory, Missouri",18.3,55.0,3.4,9.0
1526,"Holt, Missouri",10.3,48.5,2.7,19.7
1527,"Howard, Missouri",13.8,39.1,0.0,25.2
1528,"Howell, Missouri",21.3,40.9,1.8,18.0
1529,"Iron, Missouri",22.8,45.7,2.5,10.8
1530,"Jackson, Missouri",13.8,36.8,1.3,31.6
1531,"Jasper, Missouri",15.9,36.2,1.6,23.6
1532,"Jefferson, Missouri",9.9,39.2,1.2,20.4
1533,"Johnson, Missouri",15.4,30.5,2.6,28.9
1534,"Knox, Missouri",17.5,44.1,0.5,17.2
1535,"Laclede, Missouri",16.5,40.3,1.6,14.6
1536,"Lafayette, Missouri",12.3,42.3,1.1,20.3
1537,"Lawrence, Missouri",16.7,39.4,2.0,16.0
1538,"Lewis, Missouri",17.9,40.6,1.2,13.6
1539,"Lincoln, Missouri",11.5,37.1,1.5,16.8
1540,"Linn, Missouri",13.3,41.8,0.6,16.9
1541,"Livingston, Missouri",15.6,40.0,0.2,18.8
1542,"McDonald, Missouri",17.2,37.8,0.9,11.5
1543,"Macon, Missouri",12.2,43.3,1.8,16.3
1544,"Madison, Missouri",17.8,42.2,0.5,15.6
1545,"Maries, Missouri",15.5,46.0,1.2,15.8
1546,"Marion, Missouri",16.5,38.9,1.9,22.4
1547,"Mercer, Missouri",13.8,42.9,0.5,18.9
1548,"Miller, Missouri",15.5,40.7,1.9,19.4
1549,"Mississippi, Missouri",25.6,41.4,5.4,11.5
1550,"Moniteau, Missouri",12.6,38.0,0.4,20.5
1551,"Monroe, Missouri",12.8,46.5,1.3,12.4
1552,"Montgomery, Missouri",16.4,44.5,2.9,14.0
1553,"Morgan, Missouri",21.4,46.0,2.5,13.3
1554,"New Madrid, Missouri",21.6,42.0,1.7,12.1
1555,"Newton, Missouri",13.0,39.9,1.1,20.0
1556,"Nodaway, Missouri",21.5,29.7,2.4,28.6
1557,"Oregon, Missouri",23.9,46.4,3.7,14.6
1558,"Osage, Missouri",7.1,40.8,1.4,18.9
1559,"Ozark, Missouri",24.1,51.6,2.2,11.0
1560,"Pemiscot, Missouri",26.8,37.9,2.1,12.7
1561,"Perry, Missouri",7.9,40.7,2.3,17.7
1562,"Pettis, Missouri",13.9,37.8,2.9,18.0
1563,"Phelps, Missouri",20.7,35.3,2.2,29.1
1564,"Pike, Missouri",14.7,38.9,3.0,15.6
1565,"Platte, Missouri",5.9,38.2,0.8,43.1
1566,"Polk, Missouri",14.0,37.6,2.1,19.9
1567,"Pulaski, Missouri",14.5,27.6,6.5,28.3
1568,"Putnam, Missouri",14.0,45.8,3.7,19.3
1569,"Ralls, Missouri",12.7,45.0,1.4,14.9
1570,"Randolph, Missouri",16.3,39.4,0.4,15.1
1571,"Ray, Missouri",11.7,42.2,0.6,14.6
1572,"Reynolds, Missouri",20.0,46.5,3.3,13.7
1573,"Ripley, Missouri",25.2,42.3,3.0,10.2
1574,"St. Charles, Missouri",5.1,38.6,0.8,38.9
1575,"St. Clair, Missouri",16.9,50.3,2.3,13.9
1576,"Ste. Genevieve, Missouri",11.4,43.3,1.9,19.7
1577,"St. Francois, Missouri",16.1,39.4,2.7,14.3
1578,"St. Louis, Missouri",9.5,40.3,1.5,43.6
1579,"Saline, Missouri",14.7,37.9,1.2,19.4
1580,"Schuyler, Missouri",19.7,40.1,0.8,12.6
1581,"Scotland, Missouri",14.6,37.3,1.0,14.2
1582,"Scott, Missouri",18.7,40.0,1.3,16.3
1583,"Shannon, Missouri",26.1,45.8,3.7,14.9
1584,"Shelby, Missouri",14.1,42.3,2.5,18.1
1585,"Stoddard, Missouri",19.1,41.4,2.3,13.3
1586,"Stone, Missouri",12.1,53.6,2.2,18.6
1587,"Sullivan, Missouri",14.2,42.1,0.9,11.7
1588,"Taney, Missouri",14.2,42.2,3.3,19.9
1589,"Texas, Missouri",24.5,43.2,3.9,13.5
1590,"Vernon, Missouri",13.0,40.8,2.2,18.9
1591,"Warren, Missouri",11.4,41.0,1.2,19.1
1592,"Washington, Missouri",20.1,40.8,0.7,9.9
1593,"Wayne, Missouri",26.2,47.5,4.5,9.6
1594,"Webster, Missouri",14.1,36.7,1.2,16.8
1595,"Worth, Missouri",16.2,48.1,0.0,20.0
1596,"Wright, Missouri",23.6,41.7,3.8,10.2
1597,"St. Louis, Missouri",20.7,35.8,3.8,36.3
1598,"Beaverhead, Montana",20.3,43.0,0.4,35.4
1599,"Big Horn, Montana",20.9,30.7,1.7,18.1
1600,"Blaine, Montana",23.8,33.8,1.1,22.9
1601,"Broadwater, Montana",8.2,47.3,0.8,27.1
1602,"Carbon, Montana",9.4,50.5,1.3,30.4
1603,"Carter, Montana",10.2,47.8,0.2,20.2
1604,"Cascade, Montana",14.3,38.3,1.1,25.7
1605,"Chouteau, Montana",14.6,41.9,1.0,28.3
1606,"Custer, Montana",13.0,41.4,1.8,24.6
1607,"Daniels, Montana",4.9,49.2,0.0,24.0
1608,"Dawson, Montana",11.9,41.0,3.9,22.2
1609,"Deer Lodge, Montana",17.5,48.6,2.5,20.4
1610,"Fallon, Montana",7.1,39.3,0.8,19.0
1611,"Fergus, Montana",15.3,45.3,1.0,29.1
1612,"Flathead, Montana",10.7,42.2,1.5,31.0
1613,"Gallatin, Montana",13.3,33.4,0.9,50.1
1614,"Garfield, Montana",10.0,45.8,0.0,14.3
1615,"Glacier, Montana",27.8,31.9,3.5,21.4
1616,"Golden Valley, Montana",18.8,56.9,3.2,22.7
1617,"Granite, Montana",8.8,54.3,1.5,28.9
1618,"Hill, Montana",18.3,34.3,2.0,25.4
1619,"Jefferson, Montana",6.7,47.6,1.1,35.0
1620,"Judith Basin, Montana",18.3,51.7,2.6,26.6
1621,"Lake, Montana",17.3,42.3,2.2,29.6
1622,"Lewis and Clark, Montana",10.1,40.8,1.3,40.1
1623,"Liberty, Montana",11.5,46.5,5.9,15.2
1624,"Lincoln, Montana",17.2,52.4,2.2,19.6
1625,"McCone, Montana",10.4,46.6,0.0,17.2
1626,"Madison, Montana",7.5,53.0,4.2,31.2
1627,"Meagher, Montana",13.0,48.0,2.1,29.3
1628,"Mineral, Montana",19.4,51.7,2.0,16.1
1629,"Missoula, Montana",15.6,36.0,0.5,43.0
1630,"Musselshell, Montana",12.4,50.1,5.5,16.3
1631,"Park, Montana",13.3,46.3,0.7,31.5
1632,"Petroleum, Montana",12.3,51.8,0.0,32.6
1633,"Phillips, Montana",14.0,49.0,1.2,17.2
1634,"Pondera, Montana",11.0,40.7,3.7,24.0
1635,"Powder River, Montana",10.6,53.4,2.3,24.4
1636,"Powell, Montana",14.1,45.5,1.2,20.4
1637,"Prairie, Montana",10.6,48.7,4.8,22.2
1638,"Ravalli, Montana",12.5,49.1,1.6,27.8
1639,"Richland, Montana",7.9,38.6,3.0,18.9
1640,"Roosevelt, Montana",25.0,30.2,2.4,17.4
1641,"Rosebud, Montana",16.2,36.8,4.8,17.8
1642,"Sanders, Montana",16.7,53.9,1.6,17.9
1643,"Sheridan, Montana",10.8,46.3,0.9,23.9
1644,"Silver Bow, Montana",19.4,40.0,1.8,27.2
1645,"Stillwater, Montana",6.5,46.8,1.3,25.0
1646,"Sweet Grass, Montana",7.5,52.0,0.5,25.4
1647,"Teton, Montana",10.7,44.4,4.2,24.9
1648,"Toole, Montana",12.4,43.1,5.9,15.2
1649,"Treasure, Montana",19.7,56.8,0.0,25.4
1650,"Valley, Montana",10.3,44.3,2.8,21.5
1651,"Wheatland, Montana",16.4,41.1,1.3,19.6
1652,"Wibaux, Montana",10.6,47.1,2.0,23.4
1653,"Yellowstone, Montana",10.1,38.4,0.9,32.1
1654,"Adams, Nebraska",11.8,37.7,0.8,24.3
1655,"Antelope, Nebraska",12.5,44.9,1.0,18.4
1656,"Arthur, Nebraska",13.7,45.5,0.0,26.2
1657,"Banner, Nebraska",11.3,48.9,1.5,23.3
1658,"Blaine, Nebraska",10.8,53.2,0.0,23.0
1659,"Boone, Nebraska",8.3,44.8,0.4,21.1
1660,"Box Butte, Nebraska",13.0,39.4,0.4,17.1
1661,"Boyd, Nebraska",11.9,54.3,0.8,16.7
1662,"Brown, Nebraska",11.6,49.4,0.9,20.7
1663,"Buffalo, Nebraska",13.3,33.5,1.6,34.6
1664,"Burt, Nebraska",11.9,45.7,1.9,21.3
1665,"Butler, Nebraska",7.8,43.3,0.9,21.4
1666,"Cass, Nebraska",7.5,41.7,1.0,27.7
1667,"Cedar, Nebraska",6.9,42.7,2.0,21.0
1668,"Chase, Nebraska",7.2,43.5,3.6,21.0
1669,"Cherry, Nebraska",9.7,43.1,0.8,22.9
1670,"Cheyenne, Nebraska",10.2,40.4,1.6,25.4
1671,"Clay, Nebraska",11.0,42.5,0.8,19.9
1672,"Colfax, Nebraska",10.6,33.7,1.0,15.4
1673,"Cuming, Nebraska",8.7,42.6,3.0,23.8
1674,"Custer, Nebraska",10.6,43.1,2.5,24.0
1675,"Dakota, Nebraska",13.4,33.4,0.6,13.0
1676,"Dawes, Nebraska",14.0,34.9,2.0,36.9
1677,"Dawson, Nebraska",12.7,35.7,2.2,15.8
1678,"Deuel, Nebraska",8.8,48.7,3.7,15.9
1679,"Dixon, Nebraska",10.5,40.8,0.9,21.2
1680,"Dodge, Nebraska",11.9,38.9,0.3,19.0
1681,"Douglas, Nebraska",11.7,34.7,1.1,39.7
1682,"Dundy, Nebraska",10.7,43.3,1.2,23.3
1683,"Fillmore, Nebraska",10.8,47.0,1.9,21.4
1684,"Franklin, Nebraska",13.4,50.8,2.1,17.3
1685,"Frontier, Nebraska",9.8,45.2,2.1,21.5
1686,"Furnas, Nebraska",13.0,46.9,1.1,17.4
1687,"Gage, Nebraska",11.2,43.8,0.3,20.8
1688,"Garden, Nebraska",7.8,50.4,0.0,22.5
1689,"Garfield, Nebraska",10.4,50.9,1.3,25.5
1690,"Gosper, Nebraska",6.9,53.4,0.0,29.5
1691,"Grant, Nebraska",15.6,38.8,0.0,26.8
1692,"Greeley, Nebraska",12.5,45.5,1.3,16.3
1693,"Hall, Nebraska",11.2,35.9,1.2,21.5
1694,"Hamilton, Nebraska",5.3,41.9,1.4,25.0
1695,"Harlan, Nebraska",11.4,45.3,1.4,22.4
1696,"Hayes, Nebraska",13.6,45.7,1.6,18.3
1697,"Hitchcock, Nebraska",11.7,46.2,2.2,17.6
1698,"Holt, Nebraska",9.2,42.8,1.5,22.4
1699,"Hooker, Nebraska",9.7,53.3,2.8,26.4
1700,"Howard, Nebraska",10.1,43.1,0.6,21.1
1701,"Jefferson, Nebraska",13.6,46.5,0.0,17.8
1702,"Johnson, Nebraska",9.2,40.9,1.7,17.5
1703,"Kearney, Nebraska",8.3,39.6,1.4,26.7
1704,"Keith, Nebraska",15.0,49.3,1.7,20.5
1705,"Keya Paha, Nebraska",9.5,45.3,3.1,25.0
1706,"Kimball, Nebraska",13.0,46.3,3.3,16.1
1707,"Knox, Nebraska",9.6,45.6,1.5,21.6
1708,"Lancaster, Nebraska",12.2,33.5,0.6,39.5
1709,"Lincoln, Nebraska",11.8,41.1,0.8,23.2
1710,"Logan, Nebraska",11.0,38.6,1.5,19.6
1711,"Loup, Nebraska",12.6,53.2,0.0,25.3
1712,"McPherson, Nebraska",13.6,54.8,3.5,22.0
1713,"Madison, Nebraska",15.3,36.6,0.4,23.0
1714,"Merrick, Nebraska",13.1,43.6,1.7,17.8
1715,"Morrill, Nebraska",9.6,42.3,2.5,19.5
1716,"Nance, Nebraska",11.5,44.8,3.1,18.3
1717,"Nemaha, Nebraska",12.8,39.3,0.9,27.8
1718,"Nuckolls, Nebraska",9.4,49.2,1.9,20.9
1719,"Otoe, Nebraska",10.3,41.4,1.6,23.4
1720,"Pawnee, Nebraska",16.1,50.0,0.4,17.1
1721,"Perkins, Nebraska",6.3,42.9,0.6,28.1
1722,"Phelps, Nebraska",10.8,42.4,0.7,23.5
1723,"Pierce, Nebraska",9.0,41.6,0.5,23.2
1724,"Platte, Nebraska",8.7,38.4,1.1,21.8
1725,"Polk, Nebraska",6.6,45.1,0.7,21.8
1726,"Red Willow, Nebraska",10.7,40.7,1.8,19.1
1727,"Richardson, Nebraska",14.0,47.7,0.6,19.0
1728,"Rock, Nebraska",6.6,46.2,0.0,23.2
1729,"Saline, Nebraska",16.3,35.5,0.4,17.8
1730,"Sarpy, Nebraska",6.1,34.6,0.5,39.8
1731,"Saunders, Nebraska",8.2,41.2,0.3,25.4
1732,"Scotts Bluff, Nebraska",14.3,39.5,1.3,22.9
1733,"Seward, Nebraska",7.9,38.0,1.1,28.9
1734,"Sheridan, Nebraska",14.1,46.7,1.7,22.8
1735,"Sherman, Nebraska",12.9,49.7,2.0,20.2
1736,"Sioux, Nebraska",5.9,44.1,3.0,30.6
1737,"Stanton, Nebraska",6.9,42.1,2.4,17.8
1738,"Thayer, Nebraska",9.3,46.5,0.1,18.8
1739,"Thomas, Nebraska",10.5,41.8,7.2,24.7
1740,"Thurston, Nebraska",22.6,27.5,0.9,16.4
1741,"Valley, Nebraska",11.3,46.2,2.0,24.2
1742,"Washington, Nebraska",8.9,41.2,1.5,29.9
1743,"Wayne, Nebraska",17.9,32.0,0.5,32.4
1744,"Webster, Nebraska",11.5,45.1,0.7,23.0
1745,"Wheeler, Nebraska",10.7,49.4,3.3,19.4
1746,"York, Nebraska",11.3,39.9,1.3,28.4
1747,"Churchill, Nevada",12.6,39.7,1.5,18.8
1748,"Clark, Nevada",13.2,37.3,2.2,24.5
1749,"Douglas, Nevada",8.3,52.0,1.9,29.4
1750,"Elko, Nevada",10.5,34.1,1.4,16.6
1751,"Esmeralda, Nevada",7.3,55.4,3.7,16.1
1752,"Eureka, Nevada",15.4,47.7,2.5,8.8
1753,"Humboldt, Nevada",12.5,36.0,3.0,16.8
1754,"Lander, Nevada",12.0,37.4,1.2,12.4
1755,"Lincoln, Nevada",7.2,44.4,3.1,19.6
1756,"Lyon, Nevada",10.4,43.7,2.4,14.4
1757,"Mineral, Nevada",19.4,52.9,5.8,14.9
1758,"Nye, Nevada",15.3,53.1,1.6,10.7
1759,"Pershing, Nevada",17.4,42.1,3.7,11.1
1760,"Storey, Nevada",3.4,50.9,1.5,31.4
1761,"Washoe, Nevada",10.7,38.4,1.4,30.8
1762,"White Pine, Nevada",13.3,39.8,2.7,13.2
1763,"Carson City, Nevada",11.6,42.4,0.7,22.2
1764,"Belknap, New Hampshire",8.9,47.4,1.5,32.6
1765,"Carroll, New Hampshire",9.1,52.3,2.4,34.3
1766,"Cheshire, New Hampshire",8.8,43.1,1.8,33.1
1767,"Coos, New Hampshire",12.8,48.2,2.1,18.2
1768,"Grafton, New Hampshire",10.0,43.2,1.9,40.6
1769,"Hillsborough, New Hampshire",7.8,40.7,0.8,38.1
1770,"Merrimack, New Hampshire",7.4,42.8,1.0,35.6
1771,"Rockingham, New Hampshire",5.3,44.5,1.0,41.4
1772,"Strafford, New Hampshire",9.9,36.9,1.3,35.8
1773,"Sullivan, New Hampshire",10.2,46.3,1.5,28.1
1774,"Atlantic, New Jersey",12.8,41.7,2.8,28.1
1775,"Bergen, New Jersey",7.6,41.9,1.1,49.3
1776,"Burlington, New Jersey",5.8,41.6,1.6,38.0
1777,"Camden, New Jersey",12.4,38.8,1.7,32.5
1778,"Cape May, New Jersey",9.5,49.6,4.3,32.8
1779,"Cumberland, New Jersey",16.2,37.6,1.6,15.6
1780,"Essex, New Jersey",16.6,37.6,2.2,35.5
1781,"Gloucester, New Jersey",7.3,40.5,1.4,33.0
1782,"Hudson, New Jersey",15.0,35.3,2.1,42.3
1783,"Hunterdon, New Jersey",4.5,46.3,2.7,52.7
1784,"Mercer, New Jersey",11.5,38.8,1.5,42.6
1785,"Middlesex, New Jersey",8.6,38.6,1.3,43.6
1786,"Monmouth, New Jersey",7.5,43.3,1.3,46.0
1787,"Morris, New Jersey",5.1,42.8,1.3,54.1
1788,"Ocean, New Jersey",8.6,42.7,1.7,30.0
1789,"Passaic, New Jersey",15.1,37.2,1.1,28.2
1790,"Salem, New Jersey",11.9,42.1,3.2,21.0
1791,"Somerset, New Jersey",5.5,41.7,1.4,54.7
1792,"Sussex, New Jersey",4.9,44.7,2.8,36.1
1793,"Union, New Jersey",9.6,38.7,1.6,36.0
1794,"Warren, New Jersey",7.8,44.4,1.8,33.0
1795,"Bernalillo, New Mexico",15.9,37.6,1.7,34.4
1796,"Catron, New Mexico",10.3,58.1,12.2,15.7
1797,"Chaves, New Mexico",18.4,35.7,1.9,18.0
1798,"Cibola, New Mexico",26.6,37.3,1.0,14.2
1799,"Colfax, New Mexico",20.1,50.2,3.3,21.7
1800,"Curry, New Mexico",19.1,31.5,3.4,19.2
1801,"De Baca, New Mexico",13.8,35.4,0.0,13.0
1802,"Do̱a Ana, New Mexico",24.6,33.1,2.1,27.1
1803,"Eddy, New Mexico",13.6,35.2,1.6,16.2
1804,"Grant, New Mexico",21.9,46.4,4.0,28.8
1805,"Guadalupe, New Mexico",19.7,43.1,3.3,7.6
1806,"Harding, New Mexico",10.9,58.5,2.7,21.7
1807,"Hidalgo, New Mexico",26.0,43.1,2.1,14.6
1808,"Lea, New Mexico",15.3,31.8,1.0,13.6
1809,"Lincoln, New Mexico",11.6,50.9,8.9,25.8
1810,"Los Alamos, New Mexico",5.4,42.3,1.2,67.4
1811,"Luna, New Mexico",29.5,37.1,4.5,12.5
1812,"McKinley, New Mexico",33.2,32.4,0.6,11.4
1813,"Mora, New Mexico",27.3,55.2,2.0,11.0
1814,"Otero, New Mexico",20.3,35.8,3.0,17.5
1815,"Quay, New Mexico",13.0,43.4,2.6,17.1
1816,"Rio Arriba, New Mexico",23.3,41.3,2.7,19.3
1817,"Roosevelt, New Mexico",24.9,30.0,4.1,23.9
1818,"Sandoval, New Mexico",11.7,40.1,2.3,30.5
1819,"San Juan, New Mexico",19.2,35.4,1.8,14.9
1820,"San Miguel, New Mexico",30.4,44.0,2.9,21.4
1821,"Santa Fe, New Mexico",12.3,46.3,1.6,41.0
1822,"Sierra, New Mexico",26.5,55.7,8.3,21.1
1823,"Socorro, New Mexico",22.7,39.4,6.0,22.0
1824,"Taos, New Mexico",18.9,48.8,2.8,28.7
1825,"Torrance, New Mexico",21.2,43.6,3.5,14.8
1826,"Union, New Mexico",19.6,39.8,4.3,11.7
1827,"Valencia, New Mexico",16.3,38.9,2.3,18.5
1828,"Albany, New York",11.4,37.8,1.7,41.8
1829,"Allegany, New York",16.0,39.1,2.5,20.9
1830,"Bronx, New York",28.3,34.2,1.7,20.1
1831,"Broome, New York",16.2,39.9,1.7,28.4
1832,"Cattaraugus, New York",16.1,42.0,2.3,19.1
1833,"Cayuga, New York",11.5,42.9,0.6,22.6
1834,"Chautauqua, New York",17.1,42.6,2.0,22.2
1835,"Chemung, New York",13.9,41.3,1.3,23.3
1836,"Chenango, New York",14.6,44.9,1.3,18.7
1837,"Clinton, New York",15.1,39.5,1.9,22.9
1838,"Columbia, New York",10.4,48.2,3.7,32.7
1839,"Cortland, New York",16.1,36.4,1.0,28.0
1840,"Delaware, New York",15.9,47.9,2.1,22.6
1841,"Dutchess, New York",9.0,42.2,2.0,35.0
1842,"Erie, New York",14.0,40.3,0.8,34.4
1843,"Essex, New York",10.3,47.7,4.0,26.8
1844,"Franklin, New York",17.9,39.9,1.4,19.1
1845,"Fulton, New York",13.7,43.9,2.6,18.2
1846,"Genesee, New York",11.0,43.1,1.5,22.3
1847,"Greene, New York",13.3,45.9,3.0,22.1
1848,"Hamilton, New York",9.7,55.3,5.4,16.8
1849,"Herkimer, New York",13.4,44.2,3.2,21.5
1850,"Jefferson, New York",13.7,32.5,2.7,22.2
1851,"Kings, New York",19.6,35.2,1.7,37.5
1852,"Lewis, New York",12.1,42.2,2.6,18.4
1853,"Livingston, New York",12.8,41.3,0.6,26.5
1854,"Madison, New York",9.9,41.9,2.5,26.2
1855,"Monroe, New York",13.7,38.9,0.8,38.6
1856,"Montgomery, New York",16.2,41.0,1.1,17.8
1857,"Nassau, New York",5.9,41.7,1.1,46.0
1858,"New York, New York",14.9,37.5,2.7,61.3
1859,"Niagara, New York",13.4,43.2,4.4,24.6
